RWZI_AWZI_CODE,RWZI_AWZI_NAME
4023,Kampen
4024,Hardenberg
4025,Dalfsen
4026,Zwolle
4027,Noordoostpolder (Tollebeek)
4028,Dedemsvaart
4030,Hessenpoort
5001,Haaksbergen
5002,Enschede
5003,Glanerburg
5004,Vriezenveen
5005,Tubbergen
5011,Denekamp
5012,Oldenzaal
5014,Vroomshoop
5015,Losser
5016,Goor
5017,Hengelo
5018,Ootmarsum
5019,Almelo-Vissedijk
5020,Almelo-Sumpel
5022,Rijssen
5023,Nijverdal
5025,Den Ham
6003,Dronten
6004,Lelystad
6005,Almere
6006,Zeewolde
7002,Aalten
7006,Wehl
7014,Ruurlo
7015,Lichtenvoorde
7016,Winterswijk
7017,Varsseveld
7018,Dinxperlo
7019,Zutphen
7020,Nieuwgraaf
7021,Olburgen
7022,Etten
7023,Haarlo
8005,Nijkerk
8009,Elburg
8011,Harderwijk
8016,Heerde
8017,Epe
8019,Bennekom
8021,Ede
8022,Apeldoorn
8023,Brummen
8024,Renkum
8025,Terwolde
8026,Hattem
9010,Groesbeek
9012,Geldermalsen
9013,Asperen
9015,Valburg
9016,Arnhem
9017,Bergharen
9019,Culemborg
9020,Overasselt
9024,Nijmegen
9025,Tiel
9026,Dodewaard
9027,Druten
9029,Aalst
9030,Maasbommel
9031,Beesd
9032,Zetten
9034,Eck En Wiel
9037,Gorinchem
9038,Gendt
9039,Dreumel
9040,Haaften
9041,Zaltbommel
9042,Millingen aan de Rijn
9043,Lienden
